출사 장소 리스트,거리&골목길,건축물,공원,광화문&종로,궁궐,다리,산,서촌&북촌,식물,역사 문화 공간,자연산책로,캠퍼스,야경&전망,테마파크,한강,위도,경도,주소
청계천,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,37.5681943,126.9865237,서울특별시 중구 장교동
푸른수목원,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,37.4815523,126.823778,서울 구로구 서해안로 2117
하늘공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37.5675623,126.8850629,서울 마포구 하늘공원로 95
한강대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5175183,126.9588201,서울특별시 용산구 이촌동
한강초교앞보도육교,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37.5256247,126.9645135,서울특별시 용산구 한강로3가
한국외국어대학교 서울캠퍼스,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.5973077,127.0582877,서울 동대문구 이문로 107
한남대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5269059,127.0131597,서울특별시 강남구 신사동
항동철길,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4886169,126.8351489,서울 구로구 오리로 1189
해방촌,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.541091,126.9870275,서울특별시 용산구 용산동2가
화랑대역 폐역,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37.6242585,127.0932585,서울특별시 노원구 공릉동
효자동 일대,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.582649,126.971921,서울특별시 종로구 효자동
후암동 일대,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.548638,126.978134,서울특별시 용산구 후암동
