출사 장소 리스트,거리&골목길,건축물,공원,광화문&종로,궁궐,다리,산,서촌&북촌,식물,역사 문화 공간,자연산책로,캠퍼스,야경&전망,테마파크,한강,위도,경도,주소,,,id,navermap
용산공원 미군기지,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,37.5230098,126.9891845,서울 용산구 서빙고로 221,,,1609415395,"http://map.naver.com/entry/place/1609415395?c=15.00,0,0,0,dh"
용양봉저정공원,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,37.5117765,126.9584177,서울특별시 동작구 본동 산3-9,,,19028678,"http://map.naver.com/entry/place/19028678?c=15.00,0,0,0,dh"
우면산 소망탑,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37.4695912,127.0054232,"서울특별시 서초구 우면동 산39-3 39-3,",,,1426530875,"http://map.naver.com/entry/place/1426530875?c=15.00,0,0,0,dh"
운현궁,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37.5761249,126.98705,서울 종로구 삼일대로 464,,,11619094,"http://map.naver.com/entry/place/11619094?c=15.00,0,0,0,dh"
원효대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5271,126.9457887,서울특별시 영등포구 여의도동,,,18999644,"http://map.naver.com/entry/place/18999644?c=15.00,0,0,0,dh"
월드컵공원,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.571805,126.8789069,서울 마포구 하늘공원로 86,,,11622433,"http://map.naver.com/entry/place/11622433?c=15.00,0,0,0,dh"
은평한옥마을,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6413181,126.9393075,서울특별시 은평구 진관동 193-14,,,37825869,"http://map.naver.com/entry/place/37825869?c=15.00,0,0,0,dh"
을지로 골목,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.565559,126.9898534,서울특별시 중구 을지로3가 344-22,,,353356216,"http://map.naver.com/entry/place/353356216?c=15.00,0,0,0,dh"
응봉산,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37.5478269,127.029725,서울특별시 성동구 금호동4가 1540 응봉산,,,11491502,"http://map.naver.com/entry/place/11491502?c=15.00,0,0,0,dh"
이촌 한강공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5191002,126.9652321,서울 용산구 이촌로72길 62,,,13416981,"http://map.naver.com/entry/place/13416981?c=15.00,0,0,0,dh"
이화여자대학교,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.5617395,126.9472447,서울 서대문구 이화여대길 52,,,11591618,"http://map.naver.com/entry/place/11591618?c=15.00,0,0,0,dh"
익선동한옥거리,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,37.5734409,126.989774,서울특별시 종로구 익선동,,,37684387,"http://map.naver.com/entry/place/37684387?c=15.00,0,0,0,dh"
인사동문화의거리,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37.5739818,126.9849358,서울특별시 종로구 인사동,,,13542782,"http://map.naver.com/entry/place/13542782?c=15.00,0,0,0,dh"
인왕산,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37.5849,126.9578437,서울특별시 종로구 무악동 산2-1,,,11491503,"http://map.naver.com/entry/place/11491503?c=15.00,0,0,0,dh"
일자산허브천문공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37.5372715,127.1533951,서울특별시 강동구 둔촌동 산86,,,13209410,"http://map.naver.com/entry/place/13209410?c=15.00,0,0,0,dh"
잠수교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5145083,126.9965328,서울특별시 서초구 반포동,,,18762982,"http://map.naver.com/entry/place/18762982?c=15.00,0,0,0,dh"
잠실 석촌호수,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37.5095249,127.102135,서울특별시 송파구 잠실동,,,13491520,"http://map.naver.com/entry/place/13491520?c=15.00,0,0,0,dh"
잠실 한강공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5188863,127.0900268,서울 송파구 한가람로 65,,,13416876,"http://map.naver.com/entry/place/13416876?c=15.00,0,0,0,dh"
잠실철교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5286196,127.0988654,서울특별시 송파구 신천동,,,18850773,"http://map.naver.com/entry/place/18850773?c=15.00,0,0,0,dh"
장충동 일대,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5617809,127.0055897,서울 중구 퇴계로56길 50,,,1487561162,"http://map.naver.com/entry/place/1487561162?c=15.00,0,0,0,dh"
정동전망대,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37.5644216,126.9756661,서울 중구 덕수궁길 15,,,35806834,"http://map.naver.com/entry/place/35806834?c=15.00,0,0,0,dh"
중랑장미공원,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,37.6155327,127.0733217,서울특별시 중랑구 묵동 375,,,37851221,"http://map.naver.com/entry/place/37851221?c=15.00,0,0,0,dh"
창경궁,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37.5794952,126.994142,서울 종로구 창경궁로 185,,,11571740,"http://map.naver.com/entry/place/11571740?c=15.00,0,0,0,dh"
창덕궁,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37.5826041,126.9919376,서울 종로구 율곡로 99,,,12261493,"http://map.naver.com/entry/place/12261493?c=15.00,0,0,0,dh"
천호대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5427832,127.1125061,서울특별시 송파구 풍납동,,,18851515,"http://map.naver.com/entry/place/18851515?c=15.00,0,0,0,dh"
청계천,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,37.5681943,126.9865237,서울특별시 중구 장교동,,,1520270577,"http://map.naver.com/entry/place/1520270577?c=15.00,0,0,0,dh"
푸른수목원,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,37.4815523,126.823778,서울 구로구 서해안로 2117,,,32581850,"http://map.naver.com/entry/place/32581850?c=15.00,0,0,0,dh"
하늘공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37.5675623,126.8850629,서울 마포구 하늘공원로 95,,,13219083,"http://map.naver.com/entry/place/13219083?c=15.00,0,0,0,dh"
한강대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5175183,126.9588201,서울특별시 용산구 이촌동,,,18726054,"http://map.naver.com/entry/place/18726054?c=15.00,0,0,0,dh"
한강초교앞보도육교,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37.5256247,126.9645135,서울특별시 용산구 한강로3가,,,1392384069,"http://map.naver.com/entry/place/1392384069?c=15.00,0,0,0,dh"
한국외국어대학교 서울캠퍼스,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.5973077,127.0582877,서울 동대문구 이문로 107,,,11591662,"http://map.naver.com/entry/place/11591662?c=15.00,0,0,0,dh"
한남대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5269059,127.0131597,서울특별시 강남구 신사동,,,18829738,"http://map.naver.com/entry/place/18829738?c=15.00,0,0,0,dh"
항동철길,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4886169,126.8351489,서울 구로구 오리로 1189,,,38327950,"http://map.naver.com/entry/place/38327950?c=15.00,0,0,0,dh"
해방촌,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.541091,126.9870275,서울특별시 용산구 용산동2가,,,37691375,"http://map.naver.com/entry/place/37691375?c=15.00,0,0,0,dh"
화랑대역 폐역,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37.6242585,127.0932585,서울특별시 노원구 공릉동,,,1268017434,"http://map.naver.com/entry/place/1268017434?c=15.00,0,0,0,dh"
효자동 일대,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.582649,126.971921,서울특별시 종로구 효자동,,,,"https://map.naver.com/p/entry/address/14134449.5907637,4520634.7265687,%EC%84%9C%EC%9A%B8%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%ED%9A%A8%EC%9E%90%EB%8F%99?c=17.00,0,0,0,dh"
후암동 일대,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.548638,126.978134,서울특별시 용산구 후암동,,,,"http://map.naver.com/p/entry/address/14135141.21876,4515858.2657116,%EC%84%9C%EC%9A%B8%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%ED%9B%84%EC%95%94%EB%8F%99?c=17.00,0,0,0,dh"
