id,name,category,addr,latitude,longitude
144,자매수산,한식,서울특별시 강남구 봉은사로18길 90,37.5008631,127.0277196
145,니커버커베이글,카페,서울특별시 송파구 석촌호수로 268,37.5097129,127.105722
146,무탄 압구정 본점,중식,서울 강남구 논현로176길 22,37.5273088,127.0303297
147,을지다락,양식,서울 중구 수표로10길 19,37.5637463,126.9914329
148,땀땀,아시아음식,서울 강남구 강남대로98길 12-5,37.5004166,127.0279918
149,까폼,아시아음식,서울특별시 강남구 선릉로153길 18,37.5248766,127.0379906
150,하이디라오 홍대점,중식,서울 마포구 양화로 176,37.557251,126.9249991
151,콘피에르,양식,서울 중구 세종대로 14,37.5578385,126.9744151
152,우와,일식,서울특별시 마포구 와우산로21길 21-16,37.5516765,126.9221597
153,디슬로우,양식,서울특별시 강남구 선릉로160길 7,37.5263639,127.0409214
154,송화산시도삭면,중식,서울 광진구 뚝섬로27길 48,37.5379085,127.0665259
155,고향양꼬치,중식,서울 광진구 동일로18길 101,37.5384802,127.0683755
156,코끼리맨션,양식,서울특별시 강남구 테헤란로55길 20,37.5058609,127.0471643
157,세상의모든아침 롯데월드몰점,양식,서울 송파구 올림픽로 300,37.5125702,127.1025625
158,브레디포스트 성수,카페,서울특별시 성동구 상원1길 5,37.5444986,127.0491704
159,또순이네집,한식,서울 영등포구 선유로47길 16,37.5358717,126.8953955
160,디라이프스타일키친 광화문점,양식,서울 중구 세종대로 136,37.5684246,126.9782701
161,스타벅스 더북한산점,카페,서울 은평구 대서문길 24-11,37.6554604,126.9475542
162,풍류,카페,서울특별시 종로구 필운대로5나길 20-12,37.5802685,126.9674805
163,후레쉬빌 삼성역본점,양식,서울 강남구 테헤란로108길 19,37.5082043,127.0663166
164,자연도소금빵in 성수,카페,서울 성동구 연무장길 56-1,37.5423071,127.0554779
165,독립밀방 청량리,양식,서울 동대문구 왕산로 214,37.5841971,127.051139
166,스트로베리32 연남본점,카페,서울특별시 마포구 연남로5길 8,37.5622439,126.9213502
167,매운향솥 마라탕 마라샹궈,중식,서울특별시 광진구 동일로18길 61,37.5391453,127.0662721
168,63뷔페 파빌리온,뷔페,서울 영등포구 63로 50,37.5198158,126.9403139
169,인크커피 가산점,카페,서울 금천구 가산디지털2로 127-20,37.4793569,126.8780734
170,돈부리파스타 송리단길점,양식,서울 송파구 백제고분로45길 15,37.5095912,127.1096876
171,제스티살룬 성수,패스트푸드,서울 성동구 서울숲4길 13,37.5475664,127.0424458
172,모즈타파스라운지,양식,서울 관악구 남부순환로226길 36,37.479079,126.9535336
173,사랑방칼국수,한식,서울특별시 중구 퇴계로27길 46,37.5632775,126.99135
174,신동궁감자탕 역삼직영점,한식,서울특별시 강남구 테헤란로10길 21,37.4978626,127.0329328
175,동래복국 본점,일식,서울 종로구 종로 291,37.5717786,127.0100906
176,쭈앤쭈,한식,서울특별시 관악구 관악로14길 11,37.4792602,126.9532745
177,꽁티드툴레아,카페,서울 강남구 도산대로49길 39,37.52557,127.0369045
178,명랑핫도그 노량진점,기타,서울 동작구 노량진로16길 10,37.5131233,126.9436493
179,유림 닭도리탕,한식,서울특별시 강서구 염창동 280-6,37.5478134,126.8717312
180,오마카세 오사이초밥 삼성점,일식,서울 강남구 테헤란로83길 14,37.5084885,127.0578602
181,파이프그라운드,양식,서울특별시 용산구 한남대로27길 66,37.5396025,127.0030129
182,차알 파미에스테이션점,중식,서울 서초구 사평대로 205,37.5044921,127.0078453
183,화이트크리스마스 at 가든포에트,양식,서울 마포구 와우산로14길 12,37.550187,126.9237431
184,새벽집 양곱창,한식,서울 구로구 경인로61길 21,37.5077899,126.8840609
185,농민백암순대 본점,한식,서울 강남구 선릉로86길 40-4,37.5037061,127.0530286
186,어글리퍼피 도산,카페,서울 강남구 언주로170길 26-6,37.5263647,127.0355492
187,딤딤섬 센트럴시티점,중식,서울 서초구 신반포로 176,37.5038952,127.0047519
188,개나리아구찜 본점,한식,서울특별시 송파구 오금로15길 7-8,37.5126833,127.1090895
189,비스타 워커힐 서울 더뷔페,뷔페,서울 광진구 워커힐로 177,37.555169,127.1107738
190,육명갈비,한식,서울 성동구 왕십리로24길 3,37.56297,127.0335909
191,어글리베이커리,카페,서울 마포구 월드컵로13길 73,37.5550443,126.9060601
192,망원동즉석우동 본점,일식,서울 마포구 동교로 83,37.5542453,126.9111372
193,텍사스데브라질 압구정점,양식,서울특별시 강남구 논현로 854,37.5253216,127.0288651
194,진주회관,한식,서울특별시 중구 세종대로11길 26,37.5623176,126.9746004
195,인터컨티넨탈 서울 코엑스 브래서리,뷔페,서울 강남구 봉은사로 524,37.5128784,127.0572911
196,올디스타코,기타,서울특별시 중구 충무로4길 3,37.5650755,126.9929928
197,오마카세 오사이초밥 잠실점,일식,서울 송파구 올림픽로 295,37.5149274,127.1032491
198,오스테리아 오르조,양식,서울 용산구 한남대로20길 47,37.5349008,127.0094866
199,빌라 더 다이닝,양식,서울 마포구 동교로30길 16,37.5601507,126.92486
200,로니로티 천호점,양식,서울 강동구 천호대로 1027,37.5381742,127.1263458
201,유즈라멘,일식,서울 중구 만리재로 217,37.5568971,126.9682222
202,도톤보리 서울,일식,서울특별시 강남구 강남대로152길 14,37.5171551,127.0207176
203,코벤트가든 올림픽공원점,양식,서울 송파구 위례성대로 128,37.5122216,127.1258422
204,백일도,한식,서울특별시 광진구 능동로47길 37,37.563503,127.080617
205,소울한우 여의도점,한식,서울특별시 영등포구 여의대방로67길 9,37.5195507,126.9304998
206,앤티크커피 연남점,카페,서울 마포구 연희로 25-1,37.5612636,126.9265595
207,비포블루밍,카페,서울 마포구 양화로23길 28,37.5596076,126.9250713
208,샤이바나 코엑스점,카페,서울 강남구 영동대로 513,37.5116621,127.0594275
209,올드페리도넛 한남점,양식,서울 용산구 한남대로27길 66,37.5396025,127.0030129
210,정원레스토랑 어반가든,양식,서울 중구 정동길 12-15,37.5674386,126.9692254
211,천진영감 잠실점,중식,서울 송파구 올림픽로 269,37.5144295,127.1006486
212,트라가 가로수길점,양식,서울특별시 강남구 압구정로2길 18,37.5205074,127.0196746
213,곰면옥,한식,서울특별시 마포구 성미산로 112,37.5620878,126.9195622
214,이태리국시 한남,양식,서울특별시 용산구 이태원로 234,37.5356959,126.9995794
215,쿠우쿠우 골드 상봉점,기타,서울 중랑구 망우로 316,37.5965182,127.0875551
216,동래별장,한식,서울특별시 송파구 올림픽로32길 18-11,37.5140822,127.1088409
217,하이디라오 명동점,중식,서울 중구 명동3길 36,37.5653492,126.9837511
218,올드페리도넛 용산아이파크몰점,양식,서울 용산구 한강대로23길 55,37.5297718,126.9647415
219,을밀대 평양냉면,한식,서울 마포구 숭문길 24,37.5474881,126.945522
220,금돼지식당,한식,서울 중구 다산로 149,37.5570844,127.0116752
221,헤이죠지,양식,서울 마포구 동교로46길 42-24,37.561697,126.9265566
222,트리오드,카페,서울특별시 강남구 강남대로94길 28,37.4996515,127.0296218
223,달마시안,카페,서울특별시 강남구 압구정로42길 42,37.5262798,127.0345435
224,진작다이닝,일식,서울 성동구 왕십리로14나길 10,37.549352,127.0457186
225,짱꼬집,한식,서울특별시 송파구 백제고분로7길 56,37.5106817,127.0849874
226,정돈 대학로본점,양식,서울특별시 종로구 대학로9길 12,37.5818125,127.0011167
227,오복수산 여의도점,일식,서울 영등포구 국제금융로2길 17,37.5240636,126.9260425
228,작은스페인,양식,서울 서대문구 연희로25길 37,37.571766,126.9340557
229,24시뼈다귀감자탕,한식,서울특별시 용산구 대사관로 73,37.5333832,127.0061685
230,보노보노 삼성점,뷔페,서울 강남구 테헤란로 508,37.5068211,127.0579976
231,그랜드하얏트서울 테라스,뷔페,서울 용산구 소월로 322,37.5396014,126.9974521
232,롯데호텔서울 델리카한스,카페,서울특별시 중구 을지로 30,37.5654272,126.9816208
233,소와나,한식,서울 용산구 이태원로54길 68,37.5355004,127.0010097
234,브레디포스트 용산,카페,서울 용산구 한강대로44길 6,37.5310232,126.9702551
